Stock Name           | Current Value  
AFFIN                | 455.00         
DXN                  | 341.00         
FARM FRESH           | 347.00         
OSK                  | 364.00         
SARAWAK OIL PALMS    | 72.00          
D&O                  | 147.00         
UWC                  | 63.00          
CHIN HIN             | 482.00         
INARI AMERTRON       | 383.00         
KOSSAN               | 215.00         
AXIS                 | 342.00         
GREATECH             | 285.00         
GREATECH             | 285.00         
MI                   | 36.00          
FARM FRESH           | 347.00         
HIBISCUS             | 353.00         
SUNWAY               | 474.00         
GAMUDA               | 277.00         
TIME DOTCOM          | 253.00         
MALAYAN CEMENT       | 223.00         
MATRIX CONCEPTS      | 350.00         
GAMUDA               | 277.00         
LOTTE                | 34.00          
DAYANG               | 84.00          
KPJ                  | 116.00         
ITMAX                | 345.00         
MALAYSIA AIRPORTS    | 221.00         
ASTRO                | 123.00         
PADINI               | 41.00          
VELESTO ENERGY       | 485.00         
ECO WORLD            | 350.00         
YINSON HOLDINGS      | 41.00          
KPJ                  | 116.00         
TOP GLOVE            | 20.00          
YINSON HOLDINGS      | 41.00          
ALLIANCE             | 190.00         
GAMUDA               | 277.00         
ALLIANCE             | 190.00         
DRB-HICOM            | 142.00         
PADINI               | 41.00          
MALAYSIAN RESOURCES  | 142.00         
UCHI                 | 121.00         
HEINEIKEN            | 470.00         
WCE HOLDINGS         | 307.00         
WCE HOLDINGS         | 307.00         
HIBISCUS             | 353.00         
UMW HOLDINGS         | 15.00          
BERMAZ               | 429.00         
FRONTKEN             | 498.00         
MALAYSIAN PACIFIC    | 165.00         
GREATECH             | 285.00         
YINSON HOLDINGS      | 41.00          
BUMI                 | 320.00         
OSK                  | 364.00         
BURSA                | 208.00         
UEM SURISE           | 332.00         
DAGANG               | 306.00         
VELESTO ENERGY       | 485.00         
PADINI               | 41.00          
SP SETIA             | 491.00         
ALLIANCE             | 192.04         
AXIS                 | 345.87         
KOSSAN               | 217.30         
KPJ                  | 116.30         
GUAN CHONG           | 403.05         
MALAYSIAN PACIFIC    | 165.49         
BOUSTEAD             | 320.02         
SARAWAK OIL PALMS    | 72.08          
DAGANG               | 308.73         
FARM FRESH           | 351.02         
DIALOG               | 134.63         
ECO WORLD            | 350.00         
AFFIN                | 455.00         
YINSON HOLDINGS      | 41.00          
DXN                  | 341.00         
KPJ                  | 116.00         
FARM FRESH           | 347.00         
TOP GLOVE            | 20.00          
OSK                  | 364.00         
YINSON HOLDINGS      | 41.00          
SARAWAK OIL PALMS    | 72.00          
